Date,Match,Group,Result
20/11/2022 16:00,Qatar - Ecuador,Group A,0-2
21/11/2022 13:00,England - Iran,Group B,
21/11/2022 16:00,Senegal - Netherlands,Group A,
21/11/2022 19:00,USA - Wales,Group B,
22/11/2022 10:00,Argentina - Saudi Arabia,Group C,
22/11/2022 13:00,Denmark - Tunisia,Group D,
22/11/2022 16:00,Mexico - Poland,Group C,
22/11/2022 19:00,France - Australia,Group D,
23/11/2022 10:00,Morocco - Croatia,Group F,
23/11/2022 13:00,Germany - Japan,Group E,
23/11/2022 16:00,Spain - Costa Rica,Group E,
23/11/2022 19:00,Belgium - Canada,Group F,
24/11/2022 10:00,Switzerland - Cameroon,Group G,
24/11/2022 13:00,Uruguay - Korea Republic,Group H,
24/11/2022 16:00,Portugal - Ghana,Group H,
24/11/2022 19:00,Brazil - Serbia,Group G,
25/11/2022 10:00,Wales - Iran,Group B,
25/11/2022 13:00,Qatar - Senegal,Group A,
25/11/2022 16:00,Netherlands - Ecuador,Group A,
25/11/2022 19:00,England - USA,Group B,
26/11/2022 10:00,Tunisia - Australia,Group D,
26/11/2022 13:00,Poland - Saudi Arabia,Group C,
26/11/2022 16:00,France - Denmark,Group D,
26/11/2022 19:00,Argentina - Mexico,Group C,
27/11/2022 10:00,Japan - Costa Rica,Group E,
27/11/2022 13:00,Belgium - Morocco,Group F,
27/11/2022 16:00,Croatia - Canada,Group F,
27/11/2022 19:00,Spain - Germany,Group E,
28/11/2022 10:00,Cameroon - Serbia,Group G,
28/11/2022 13:00,Korea Republic - Ghana,Group H,
28/11/2022 16:00,Brazil - Switzerland,Group G,
28/11/2022 19:00,Portugal - Uruguay,Group H,
29/11/2022 15:00,Ecuador - Senegal,Group A,
29/11/2022 15:00,Netherlands - Qatar,Group A,
29/11/2022 19:00,Wales - England,Group B,
29/11/2022 19:00,Iran - USA,Group B,
30/11/2022 15:00,Australia - Denmark,Group D,
30/11/2022 15:00,Tunisia - France,Group D,
30/11/2022 19:00,Poland - Argentina,Group C,
30/11/2022 19:00,Saudi Arabia - Mexico,Group C,
01/12/2022 15:00,Croatia - Belgium,Group F,
01/12/2022 15:00,Canada - Morocco,Group F,
01/12/2022 19:00,Japan - Spain,Group E,
01/12/2022 19:00,Costa Rica - Germany,Group E,
02/12/2022 15:00,Ghana - Uruguay,Group H,
02/12/2022 15:00,Korea Republic - Portugal,Group H,
02/12/2022 19:00,Serbia - Switzerland,Group G,
02/12/2022 19:00,Cameroon - Brazil,Group G,
